01. State  0 | Arrival   | 0 Arrivals
02. State  1 | Departure | 0 Arrivals
03. State  0 | Arrival   | 1 Arrivals
04. State  1 | Arrival   | 0 Arrivals
05. State  2 | Departure | 0 Arrivals
06. State  1 | Departure | 1 Arrivals
07. State  0 | Arrival   | 2 Arrivals
08. State  1 | Arrival   | 1 Arrivals
09. State  2 | Departure | 0 Arrivals
10. State  1 | Arrival   | 2 Arrivals
11. State  2 | Departure | 0 Arrivals
12. State  1 | Departure | 3 Arrivals
13. State  0 | Arrival   | 3 Arrivals
14. State  1 | Departure | 3 Arrivals
15. State  0 | Arrival   | 4 Arrivals
16. State  1 | Departure | 3 Arrivals
17. State  0 | Arrival   | 5 Arrivals
18. State  1 | Departure | 3 Arrivals
19. State  0 | Arrival   | 6 Arrivals
20. State  1 | Departure | 3 Arrivals
21. State  0 | Arrival   | 7 Arrivals
22. State  1 | Arrival   | 3 Arrivals
23. State  2 | Departure | 0 Arrivals
24. State  1 | Departure | 4 Arrivals
25. State  0 | Arrival   | 8 Arrivals
26. State  1 | Departure | 4 Arrivals
27. State  0 | Arrival   | 9 Arrivals
28. State  1 | Departure | 4 Arrivals
29. State  0 | Arrival   | 10 Arrivals
30. State  1 | Arrival   | 4 Arrivals
